这么急啊[惊喜]反正我知道你的评论留不了多久哈哈	要不您这边给我友情赞助两千块？我给您做个绝育[好奇]，再做个碎蛋der手术	1	0	1
人家态度挺好的啊	哈哈哈哈，凡事先问问自己配不配？你是准备入赘吗？天价彩礼人人得而诛之，但是这种还没开始就表明一毛不拔的我得喷一下。	1	0	1
？？？？首先法律规定保大，其次我和男朋友很恩爱，我父母他父母都不是傻逼，我们对小孩无所谓，生不生都不一定还顺便？	给了彩礼是不是保大保小的时候可以心安理得保小？不打无痛只能顺产不能刨腹？	0	0	1
[惊喜]你跟你对象结婚前会公证吗？评论区这群母人要彩礼时默认公证了吗？彩礼是给对方父母花还是给结婚这俩人花？如果悔婚了退不退彩礼？都公证了吗？？嗯？	那可以啊，只要契约拿去公证，你全家和你老婆全家都署名就行了。	0	0	1
我哪句话提彩礼了？	你自己付出啥了吗？整天向网友要彩礼彩礼的整一个网络乞丐	0	0	1
我父母也没要彩礼[doge]两人都是1994年的本科[doge][doge]	我这个知乎实名号，我和我爱人双博士，就没要彩礼，支持你，别理那些人，支持你，越是高素质的女性是越不看重彩礼的。	1	0	0
又看到普信女了真下头	不给彩礼就想娶老婆的男权急了	0	0	1
那你身边的女人都挺惨，我出于人类群体的自我认同感对你身边的女人表示同情和慰问。但是婚后出轨家暴嫖娼则完全可以用同等手段应付，例如动动那可怜的脑容量，在婚前先好好审视一遍对象的全体三观（参考我发表的那个文章），例如起诉离婚，同样ntr对方。如果说「怕男方婚后出轨/家暴/嫖娼→要彩礼提前补偿」，那么我是不是可以理解为「给彩礼→同意男方婚后出轨/家暴/嫖娼」或者「虽然女方也有出轨/家暴/嫖娼的概率，但相较于男性则伤害太小，所以彩礼是二者差值+生育补贴」？	[惊喜]给彩礼就肯定要孩子？不给彩礼就肯定不要孩子？那建议你拉你全家和你对象全家一起去公证处公证。[惊喜]把子宫卖成彩礼，美其名曰公平，明明就是自己物化自己。	0	0	1
不稀罕她出的双倍嫁妆不可以吗？	你就看到了彩礼，彩礼，彩礼，你怎么不想一下，女方也会出嫁妆呢，两个家庭合在一起，是为了成就一个小家庭，什么年代了，你还真当，现在的彩礼全部都归人家女方父母家，再说归就归啊几万块钱，被抖音洗脑了吧，真以为随便一个家庭就几百万彩礼啊，要几百万彩礼的家里不缺这点钱你配得上人家百万彩礼的富贵人家女儿吗[捂嘴]	0	0	1
急了急了急了[滑稽]	事实是人家女儿目前没结婚没到谈婚论嫁的一步好吧，你怎么确定人家到真正谈的时候就不要彩礼了？他现在所有的一切也只是嘴上说，现实你去试试？	0	0	1
爷直接不结婚，根本不用出彩礼[酷]	比不过你们，希望以答主为榜样要求你们自己，千万不要放低要求。	1	0	1
对的，这才是我的意思，除非能做到像papi那样，从来不去公婆那走动，过年也各回各家，做到这么独立才能说结婚就是两个人的事吧？否则结婚就是要考察对方的父母，家庭的状况，因为总会有联系。这我都不理解有什么问题？之前我快被某些人被冲烂了，私信爆炸了hhh	就像papi酱那样	0	0	0
这种一看就是经历太少，我亲眼看过我爸妈怎么因为结婚坑害他们的父母的。结婚真不是两个人的事，爱情才是，结婚本质上还是联合	我是不知道为什么现在还有人能说出结婚是两个人的事情，而不是两个家庭的事情，这种一看就幼稚的不行的话	0	0	0
人家答主说自己拒绝彩礼，你想要彩礼你划走就行了呀，还在这里转什么？[doge]	我们有彩礼的同样有嫁妆啊，不用嗷嗷叫，毕竟独生子女啥也不缺，婆婆给彩礼给得乐开了花	0	0	1
给彩礼是态度啊，女方被家里养了这么多年，然后嫁给你。倒插门的婚姻，女方也是要出彩礼的，入赘的男生也不需要拿钱啊？不出彩礼就入赘让女方出彩礼呗。结婚是两个人的事情？太幼稚了这种说法，如果你爸妈就是两个人的婚姻，如果从小到现在你从来没去奶奶外婆家串门走亲戚那就当我没说。	越来越多人不想给彩礼所以你急了你害怕将来你对象也不给彩礼既然你们所认同的彩礼是要带回来建设小家庭的那你把这笔资金放在男方这里有什么问题吗？	0	0	1
现在大家绝大多数人想的都是共有财产，但是在法律上来说总还是有风险的，要么就给钱的时候就说好这是共有财产，并不是单独赠予某一方的	话是这么说的，我们家是不要彩礼的，只是每个人不一样，我觉得，彩礼就算要也是我上述的，和陪嫁一起作为家庭共有财产，而不是单独交给谁。	0	0	1
反正现在结婚要一点要求都没有，不能要彩礼，这是陋俗；不能要求任何条件，不然说你要求高；不能不生孩子，因为这是生孩子警告；不能不带孩子，因为孩子是你自己生的，你不带谁带；不能不做家务，你要是说一人一半家务，人家会说这是结婚过日子？真棒！[吃瓜]	我们这边彩礼三，四万左右，一般要求有房子，农村自建房都行，但不接受和父母兄弟一起住，刚结婚可以住在一起，可有了孩子就不行了，孩子大了连个房间都没有，还怎么生活，又不是几十年前，实在没办法得挤着住。（如果有不在意这些的女生那更好吧）当然，男方要是同意入赘，那不用彩礼，啥都不用，女方出房子，孩子随母性。（我同事就是这样的，她爸给她另建了房子，给他们一家人住。）	0	0	1
nijsmzuex	。。。“本科这么闲不生孩子干嘛”。。绝了，我真是被这句话ex吐了，我突然理解张桂梅为什么把做家庭主妇的学生赶出校门了。我也不知道你上的什么本科，闲到可以十月怀胎，也不知道你和你男朋友什么感情就基础，好到几乎可以未婚先孕(差不多吧)，不上学给人生孩子带孩子去。顺便问一句，你们导员给你批产假嘛？班里有课是咋上的?活动都不参加，宿舍也不住嘛？生完孩子后你是在家带孩子还是孩子有人带你去上学呢？虽然，我觉得你考研也大概率考不上什么好学校，但是，也还是先祝福你能考上个985.211吧。要知道，很多同学本科好好学习，凭着身体好可以高强度备考，这还经常三战四战才考上呢。你说你身体不好，那你生孩子完后身体不是更不好了?能竞争得过人家年轻力壮的嘛？你这么早结婚生孩子，万一考研没考上，本科成绩又不太好，找不到好工作，没有良好的经济来源，时间一久男方要想离婚，你就是没钱没房没孩子孤家寡人一个了呀，还是说父母挣得多，你家完全不怕啊？不管你过得幸不幸福吧，什么叫本科这么闲为啥不生孩子?你以为那些医院里挣得多的女医生，IT行业挣得多的女程序员，法律界挣得多的女律师，还有各类女公务员，她们本科是闲过来的?她们咋不生个孩子去呢？	1	0	0
阿这，我给女拳晒房子也被女拳拉黑了呀，跟主题有关系么？	评论里有个小姐姐超级刚，晒自己的余额和工资。评论里那些男的就不敢呀[捂嘴][捂嘴]	0	1	1
薛定谔的保守	评论区高赞笑死了真是。原来女性保守主义者这么好玩[惊喜][惊喜][惊喜]不过这些保守主义者好像不大愿意保守一些其他的传统[惊喜][惊喜][惊喜]	0	1	0
你父亲每晚是不是还得给您母亲交过夜费？不然您也得喷一下？两张嘴都喷[惊喜]按照您这家庭条件…我估摸着，您母亲大概只要过夜费，就能跟任何人结为夫妻呢[惊喜][惊喜][惊喜]	哈哈哈哈，凡事先问问自己配不配？你是准备入赘吗？天价彩礼人人得而诛之，但是这种还没开始就表明一毛不拔的我得喷一下。	1	0	1
我觉得普通人的结婚是为了基因的延续，其实人类对于财产的追求不过是为了更好的将自己的基因传递下去，而结婚能保证对于男的来说孩子是自己的，也可以绑定男性对孩子负责，不然男的把肚子搞大就跑女的也没有办法	婚姻、家庭、伦常的本质到底是什么呢？有一句马恩名言可以非常简单的加以回答，那就是“婚姻本质上是一种财产制度”。这帮子评论区急了的女士们，又一次充分说明了这一点。稍有常识的人都知道伦常无疑是有阶级性的，更没有什么自古以来的普遍道德。从历史的角度说道德是不断演变的，这一点尼采的《论道德的系谱》和维柯的《新科学》里都有论述，只不过前者比较装腔作势、后者比较质朴。马恩的相关经典更论述了道德不但从历史的角度上看是不断演变的，即使在特定的某一时间段之内、在一个社会里，在它的不同阶级的道德感也是完全不同的。这些在家私国和宣言里面写着呢，他们说的都很清楚了就不需要我多说了。当然，评论区女士们是热衷于把彩礼当做不可改变的“道德”的。社会的顶层早就意识到了这一点，因为它们从古至今的几千年里一直拥有财产。他们最清楚婚姻、家庭的本质无非是让他们的财产得以维持、得以传承甚至得以扩大。我的两片领地之间隔着另一个伯爵的大庄园，还有他在河上修的一座桥。我打了他六次都不是他的对手，现在他有个独眼的女儿要嫁给我儿子，还愿意拿这个庄园和这座桥当嫁妆。我儿子最好能老老实实的去当他女婿，否则我就自己去当他女婿，再生一个儿子继承领地。这就是贵族伦理观和道德观的基础。几千年来它一直有效，所以即使贵族们已经不再是传统的地主，摇身一变成了资本大亨，上层阶级的伦理观也始终没有变。可假如婚姻本质上是一种财产关系，伦理观说到底就是为了财产保值增值和有序传承。那么对根本没有财产的下层阶级来说这玩意有什么用呢？我是个牧羊人，她是个洗衣妇，我是个京杭运河边拉纤的，她是个卖菜卖鱼的。我们在阳光温暖的春天在河边相遇。后边发生了什么？你们不会找几首中世纪的民歌听听？你们不会找两本明朝的民歌集看看？“可是这道德么？““道德是什么鬼？”我是一个钢铁厂的工人，每天工作12个小时，早七点到晚七点，车间里噪音巨大（我说的是德意志帝国的钢铁厂），工伤频发、非死即伤，还没有什么像样的补偿（我说的是德意志帝国的钢铁厂）。她是一个酒吧的女招待，我下班带回一份厂里下午给的加肉面包，她带回一瓶酒。这时候本堂神父来敲门，表示“兄弟，我们来送婚姻进社区！”“不收费！”“来教堂办婚礼还送肥皂！”我想了很久，要不要在唯一的一个休息日早起起办婚礼好换些肥皂。她看了看我说“你爱找谁结婚找谁结婚，反正别找我！”于是我把门关上了。关上之后屋子里的其他人哈哈大笑，我让他们闭嘴老实睡觉，我还要办正事！这帮子评论区的女士，上不着天，下不着地。想女权又不想解放自己想保守又不敢遵从女德，只能压榨自己的“对象”实现自己的小资梦想，一被戳破就勃然大怒，整个社会是淤泥，就她们是一朵白莲花。全社会都欠他们一笔彩礼。	0	0	0
这个绝了[思考]	给你们看个好玩的	1	1	0
急了是吧[尴尬]	我是不知道为什么现在还有人能说出结婚是两个人的事情，而不是两个家庭的事情，这种一看就幼稚的不行的话	0	0	1
别人一个00后关你一个老阿姨什么事[为难][为难][为难]	小朋友，这个一般都是面谈了，电话说不清楚的	0	0	1
我也是桂林人，在桂林这边彩礼上8万10万已经算蛮多了的	是的，前两天还有个人和我争辩，说女生张口彩礼就要十几二十万要把男方家庭掏空？我是真的觉得现在男的提到彩礼就觉得彩礼必须二十万，不知道从哪得出的结论。我是桂林人，我看到这个我还特意去问了一下我男性同事，他觉得给彩礼很正常，要是人家要彩礼不过分就和和气气结婚；要是人家不要，这不是更应该懂事给更多些，给多些两家都有面子，反正不要彩礼人家也会返回来两人用。而且我们桂林彩礼也就三到五万左右，又不是出不起，三五万就掏空家底的家庭，低保户也没那么惨吧。而且人家父母养那么多年女儿嫁给你，彩礼也就是图个风俗，走个过场。	0	0	1
那为啥要在人家想结婚的人底下说呢？所以说它的逻辑是不给彩礼等于不结婚？	这不算胡搅蛮缠吧，不结婚可以省去很多问题，而且不结婚不属于违法行为	0	0	1
真要是能让人入赘也不至于盯着人家的彩礼了，对不对[大笑]	现在男人真可怜，给不起彩礼先不说，入赘不用给彩礼，又不愿意，要面子，笑死我了，以前条件不好的年代是到处借彩礼也把婚结了。几十万彩礼给不起，就别结婚，反正也养不起孩子，两个人谈谈恋爱得了。	0	0	0
这不得把欠了小仙女们五千年欠的债还了	婚姻、家庭、伦常的本质到底是什么呢？有一句马恩名言可以非常简单的加以回答，那就是“婚姻本质上是一种财产制度”。这帮子评论区急了的女士们，又一次充分说明了这一点。稍有常识的人都知道伦常无疑是有阶级性的，更没有什么自古以来的普遍道德。从历史的角度说道德是不断演变的，这一点尼采的《论道德的系谱》和维柯的《新科学》里都有论述，只不过前者比较装腔作势、后者比较质朴。马恩的相关经典更论述了道德不但从历史的角度上看是不断演变的，即使在特定的某一时间段之内、在一个社会里，在它的不同阶级的道德感也是完全不同的。这些在家私国和宣言里面写着呢，他们说的都很清楚了就不需要我多说了。当然，评论区女士们是热衷于把彩礼当做不可改变的“道德”的。社会的顶层早就意识到了这一点，因为它们从古至今的几千年里一直拥有财产。他们最清楚婚姻、家庭的本质无非是让他们的财产得以维持、得以传承甚至得以扩大。我的两片领地之间隔着另一个伯爵的大庄园，还有他在河上修的一座桥。我打了他六次都不是他的对手，现在他有个独眼的女儿要嫁给我儿子，还愿意拿这个庄园和这座桥当嫁妆。我儿子最好能老老实实的去当他女婿，否则我就自己去当他女婿，再生一个儿子继承领地。这就是贵族伦理观和道德观的基础。几千年来它一直有效，所以即使贵族们已经不再是传统的地主，摇身一变成了资本大亨，上层阶级的伦理观也始终没有变。可假如婚姻本质上是一种财产关系，伦理观说到底就是为了财产保值增值和有序传承。那么对根本没有财产的下层阶级来说这玩意有什么用呢？我是个牧羊人，她是个洗衣妇，我是个京杭运河边拉纤的，她是个卖菜卖鱼的。我们在阳光温暖的春天在河边相遇。后边发生了什么？你们不会找几首中世纪的民歌听听？你们不会找两本明朝的民歌集看看？“可是这道德么？““道德是什么鬼？”我是一个钢铁厂的工人，每天工作12个小时，早七点到晚七点，车间里噪音巨大（我说的是德意志帝国的钢铁厂），工伤频发、非死即伤，还没有什么像样的补偿（我说的是德意志帝国的钢铁厂）。她是一个酒吧的女招待，我下班带回一份厂里下午给的加肉面包，她带回一瓶酒。这时候本堂神父来敲门，表示“兄弟，我们来送婚姻进社区！”“不收费！”“来教堂办婚礼还送肥皂！”我想了很久，要不要在唯一的一个休息日早起起办婚礼好换些肥皂。她看了看我说“你爱找谁结婚找谁结婚，反正别找我！”于是我把门关上了。关上之后屋子里的其他人哈哈大笑，我让他们闭嘴老实睡觉，我还要办正事！这帮子评论区的女士，上不着天，下不着地。想女权又不想解放自己想保守又不敢遵从女德，只能压榨自己的“对象”实现自己的小资梦想，一被戳破就勃然大怒，整个社会是淤泥，就她们是一朵白莲花。全社会都欠他们一笔彩礼。	0	0	0
小仙女，不要急呀[惊喜][惊喜][惊喜]	不给彩礼就想娶老婆的男权急了	1	0	1
他的结婚，是两个人的事情；你的结婚，是两个家庭的事情，又不矛盾，毕竟你又不和他组建家庭，为啥劈头盖脸就说他“幼稚”？我倒觉得他的想法非常符合未来社会的主流，国内大家族正在解构，国外来看，婚姻也是比较单纯只以两个人的想法为主。	我是不知道为什么现在还有人能说出结婚是两个人的事情，而不是两个家庭的事情，这种一看就幼稚的不行的话	0	0	1
囤逼居奇了属于是[惊喜]不生就不生呗你真以为男的愿意生？	可以啊，结婚之后不平等是从女性生孩子开始的，双方两人一起出钱找代孕，公平公正。一分彩礼钱都不用出	0	0	1
底下一排婚孕警告，还有再说代孕也就这个价要知足，吓得我赶紧给答主点个赞，然后逃回来了[捂脸][捂脸][捂脸]	快看看这个[惊喜]https://www.zhihu.com/answer/2139754270	1	1	0
越来越多人不想给彩礼所以你急了你害怕将来你对象也不给彩礼既然你们所认同的彩礼是要带回来建设小家庭的那你把这笔资金放在男方这里有什么问题吗？	加一，好幼稚啊，谈恋爱才是两个人的事情。结婚肯定不是啊，两个人还能结婚了不和各自家里父母亲戚走动双双断绝联系当我没说	0	0	1
那仅仅是少部分人而且人家是真正独立你能做到完全自己出首付吗	papi酱的婚姻了解一下。	0	1	1
用不着废话生孩子机器[大笑]	用不着说废话，总之一句话，生孩子必须有彩礼	0	0	1
团结起来，到明天！	永别了！牢笼！	1	0	0
你说的这些事情，过命交情的兄弟能不能行？男/女朋友能不能行？	婚姻对一穷二白的无产阶级也有用.婚姻是两个人互相扶持，增强对抗风险能力，增强生存能力。如果孤身一人，生病得病，怎么办？一个人住院，一个人动手术？	0	0	1
八个家庭的事也无所谓[大笑]要钱没有，一晚上批多少钱	我也00后，不过你这想法也太他妈幼稚了吧，别的不说，结婚就是两个家庭的事情…双方父母不同意不支持不给资助那也活的太困难了吧	0	0	1
大四实习生工资低，见笑了哈。	月薪2000的国女真不错[捂嘴][捂嘴][捂嘴]	1	1	1
那起码人家是偏向经济弱势群体，你再看看国内呢？不管是家庭主妇还是煮夫，有几个离婚后得到应有的经济赔偿的，有几个离婚后愿意支付赡养费给家庭主妇或煮夫的。之前就有新闻报道，某个家庭主妇结婚十年离婚后，男方只给了一万多，另一个家庭煮夫，也是只得到了一两万的赔偿。	国外有200多个国家和地区，都被你一刀切了？什么叫先进什么叫落后？就是有离婚赡养费的国家也不是偏向女性的啊，人家是偏向经济上弱势的一方的，我不是说过了嘛，身在美国的小仙女为了证明离婚赡养费一定是男人支付给女的就给我搬美国的法律条文，还是英文版本的法律条文，结果那些法律条文打了她的脸，不过她也算可以的了，还去找证据，不像你张口就来。	0	0	1
啧啧啧，男方揣着明白装糊涂还搁着装无辜，尼玛说啥大笑话呢？	十几万也买不到信任,她们会变本加厉PUA男方,并且想当然出轨并觉得理所当然.所以,不给任何好处,白食,便宜,断绝供养,一定是上上策.	0	0	1
我懒得解释了，你要高兴翻记录就往上翻翻，不高兴翻就拉倒，我也没有要强迫任何人接受我观点的意思，你们爱咋样是你们的事情	但是不管怎么说，结婚还是两个人的事，关爹妈什么事。	0	0	1
如果一句话不能对您的母亲和女儿说，那您也不应该随意用它去侮辱其它的女性。您的母亲也是女性。	mg破防了	0	1	1
你和人认真讨论人和你情绪输出[尴尬]知乎的氛围就是这样没掉的	我发现知乎是越来越像微博了，不仅开始出现答不对题的现象，二极管也越来越多，一分为二看问题这种基本逻辑能力都无，真是令人堪忧	0	0	1
嗯，是的，要么不结婚，要么叫你女儿擦亮眼睛找个靠谱的就行，这样不要彩礼也无所谓，跟过不过时扯不上，要彩礼主要怕男的不靠谱，婚后让生孩子不给钱，让你自生自灭，要么夫家不给力，都不管事，想要的时候就去，娘家给力还好，不给力女的成为生育工具，重男轻女的家庭更是糟，在生孩子、人流的路上一去不复返，简直坑死……	这评论，我怎么感觉都是我上辈人在知乎。我42，我觉得现代的年轻人就应该是这种想法才对。我就跟我女儿说，以后别提什么彩礼，感觉特别过时，我养你长大是希望你能独立自主，能自由翱翔，能好好感受这世界，知道自己想要的生活。我养你20年这是我的付出，也是我的责任，这不需要任何回报。唯一的回报就是你能过上自己想要的生活。老了也不需要你来赡养，把自己顾好就行。婚姻是这个世界上最难的事情之一，它需要好好经营，它就是两个人的事情，找到能幸福过一生的人真的很难，所以不要再有一些世俗的观念来给它负担。这年轻人我感觉才应该是当代年轻人该有的样子，可看评论觉得回到了旧社会的老农村。	0	1	0
也没看见别的国女的要彩礼这种东西啊，怎么咱中国女人就这么要强啊	哈哈哈哈，凡事先问问自己配不配？你是准备入赘吗？天价彩礼人人得而诛之，但是这种还没开始就表明一毛不拔的我得喷一下。	0	0	1
这给你急的啊[惊喜][惊喜]别叫啦	事实是人家女儿目前没结婚没到谈婚论嫁的一步好吧，你怎么确定人家到真正谈的时候就不要彩礼了？他现在所有的一切也只是嘴上说，现实你去试试？	0	0	1
人家结不结婚关你什么事，你想不结婚就别接婚，别管别人。	结婚干嘛，不结婚挺好的，没有彩礼，没有经济纠纷。一人吃饱，全家不饿。	0	0	1
就这点话术都是女拳想了好久的[捂脸]	评论区精选：《首先说明我是女生》《我作为一个男的》《我也00后》《看到这忍不住了》《不给就是不爱我》《去找不要彩礼的》《想的有点早》《别的不说，你*错误》《结婚不是两个人的事》《尊重》《要理性看待》《现在女性脑子也不傻》《太年轻》《幼稚》《你不交有人抢着交》《以后不一定有人和你结婚》《一毛不拔可不行》《一分钱不出不考虑》《不给就没诚意》《一点不给说不过去》《安全感》《要彩礼很正常》《先问自己配不配》《不给彩礼你入赘》《要的是一个态度》《老祖宗留下来的习俗》《给彩礼是有原因的》《几万块就能看清一辈子》《十几万都给不起就别结婚了》《有钱人家不在乎》《不给彩礼就是女生往火坑跳》《随父姓是糟粕》《只是一种形式》《为男方生孩子》《可以不要彩礼，生了得跟我姓》《不给彩礼就不带嫁妆》《共同的钱》《平等是双方的事》《女生也有嫁妆》《尊重》《嫁到你家里》《一结婚重心都在婆家》《伺候公婆》《女生要彩礼理所应当》《有保障》《家务价值》《归根结底还是穷》《白嫖》《父母养女儿这么辛苦》《背井离乡》《虽然我不要但你不能主观抵制》《我不要彩礼，但是我觉得彩礼是应该的》《绝对不能不给》《彩礼可以少给但我觉得不能一点都不给》《不说钱的问题》《安全感》《这个事情传出去》《物质基础》《空手套白狼》《给不起就直说》《穷比》《卖女儿》《不给彩礼就不生》《冠姓权》《生育补偿》《半条命》《职场歧视》《九死一生》《根据法律来》《只有女性有生育权》《法律上男性没有生育权》《你自己生》《七千万光棍》《三千万光棍》《等你进社会就知道了》《你没对象吧》《仅代表个人观点》《你杠就你对》《为啥匿名》《果然是男乎》我等了一天怎么还是这套话术，能来点新鲜的吗[尴尬]	1	0	0
你以为男的不懂？他们可懂了，而且大部分喷的男的也不差这几万块钱，他们就是想喷彩礼，最好喷到可以零成本娶老婆[飙泪笑][飙泪笑][飙泪笑]	[飙泪笑]所以啊，好多男的以为女的图他家那点彩礼，其实大部分女孩都是想有个态度，还会带着不会差太多的陪嫁回去，有的甚至一定要比彩礼多些。只不过这个社会是有比较偏远地方的女孩子，她们出来不容易，想靠着结婚帮家里也带翻身，甚至想着压榨自己的老公，让自己回报父母。咋说呢，我很不喜欢这样的女孩子，但她们从小听到的，接触到的都是这样的话，就是她们所有的一切，都是家里的功劳，跟她们自身的努力和优秀是没有关系的，大概类似这样的。结了婚了，可能又会说，你不从你老公那里多捞点，人家不心疼你，在你身上花的越多，才会越心疼，越不会离开你！之类的话，就让明明挺优秀的姑娘，变的很奇怪了我真的是觉得，结了婚，还是应该夫妻一起去双方的父母家里，不要各自单独去，谁知道有些奇葩亲戚会怎么在你父母面前嚼舌根！永远相信，亲戚希望你过的好，是比她差以下过得好，你一旦比她过得好了，那就不行了[飙泪笑][飙泪笑]希望女孩子们的思想都能独立起来吧，不要家里亲戚父母说什么就觉得都对，你没脑子的吗？自己小家庭过不好，你怎么可能过得好[微笑]不作不会死[微笑][微笑]	0	0	1
哪都有你三无号活该被拉黑	这执念就要问你妈了	0	0	1
我说了，不愿意付彩礼可以做赘婿，这个市场很大，你不愿意吗？为什么不愿意呢？	加入男方家族？现在哪里还有家族这一说，我大舅舅，从小到大，只在外婆去世的时候见过一面，现在这个时代，哪来的家族？我大伯，从小到大，见过面的次数，两只手都数的过来，还家族？我二姨的女儿和女婿，每年过年倒是来我二姨家过年，平时两夫妻就在外过年，亲家长什么样我都没见过，这就是你宣称的男方家族吗[好奇]我二姨一分彩礼没见过，当然也没要，还出了三十万的首付钱，人家是为了小两口过的好点，可不是为了彩礼卖女儿	0	0	1
我真的不明白，层主只是说了一句不结婚评论里居然就有各种嘲讽的，作为不讨厌男性的不婚主义者，结婚与否只是个人来人世走一趟的附属选择题而已，有人选择有人不选择不是很正常吗，但是我真的在很多女性说自己不想结婚，哪怕没有提到男性，只想一个人清净过日子，下面也有很多男性追着骂，而如果有男性在不涉及女性的情况下说自己不想结婚因为就想一个人清净过，女性几乎都是祝福认为这种想法都是个人自由选择。	结婚干嘛，不结婚挺好的，没有彩礼，没有经济纠纷。一人吃饱，全家不饿。	0	0	1
有法律问题	越来越多人不想给彩礼所以你急了你害怕将来你对象也不给彩礼既然你们所认同的彩礼是要带回来建设小家庭的那你把这笔资金放在男方这里有什么问题吗？	0	0	1
彩礼你们爱要多少要多少！反正老资不结婚！	结婚干嘛，不结婚挺好的，没有彩礼，没有经济纠纷。一人吃饱，全家不饿。	0	0	1
不知道你为什么会认为结婚就是附庸了[思考]	作为附庸或者作为物品活下来的已经不是女人了。因为已经不是独立的人了，更何谈女人。	1	0	1
什么叫胡搅蛮缠，男方不给彩礼是男方的自由，女方不愿意嫁是女方胡搅蛮缠？	人家理性探讨问题，你胡搅蛮缠	0	0	0
哈哈哈哈听妈妈话是妈宝不要父母钱是幼稚天呐妈妈真可怜	我是不知道为什么现在还有人能说出结婚是两个人的事情，而不是两个家庭的事情，这种一看就幼稚的不行的话	0	0	1
全世界是只有中国女性会生？[滑稽]还是其他国家的女性生出来的会少一只手/一只脚，不然为什么你们要彩礼别人不要？[好奇]还是说你们生出来的特聪明？4岁进哈佛，6岁变博士？如果是这样的话1个亿的彩礼我都出[飙泪笑]	对，确实不应该收彩礼的，毕竟男女平等，那就生育也平等吧，男生也做个子宫生孩子吧！做家务和照顾孩子也平等，有哪个男生能做到？没有谁会白白为另一个人怀胎10月生孩子，照顾孩子，这辛苦都是金钱换不来的，那些说理解老婆的有本事你做手术，你来生！	0	0	1
[飙泪笑][飙泪笑][飙泪笑][飙泪笑]笑死	首先你要明白，这个彩礼不是我想给的，是你想要的，至于说亏本的买卖，这个可就大了，你的意思是结婚就是卖女儿[好奇]	1	0	1
你知道就好呀，毕竟仙男哥哥们个个180，18cm茶壶这种词怎么能激怒你们呢对吧[可怜][可怜]	啊对对对，男人输麻了??仙女我的仙女。逻辑清晰，对线一流，长的特别好看，身高一米八，被一万个高富帅排队追求的仙女，愿意来看看锅喃真是太感激你辣???	0	1	1
一般都还，有些多点有些少点，一点不给的奇葩。	彩礼给女方父母是我最不能理解的事，如果彩礼是就给婚后生活的那我能理解。	0	0	1
你都不知道谁急那你叫我看啥。	触及了谁的利益谁急了呗	0	0	1
我嘲讽答主？我瞎啦？我嘲讽答主一句话了吗？再说啦你看葬礼那一段了嘛，不好笑吗，还结婚是两个人的事和家庭没关系，我就问问你你觉得好不好笑这话[好奇][好奇]这不该笑吗家人们	你对象给你就好了，搁这儿冷嘲热讽答主，就问你们急什么？卖不到钱急了吗？我操心你干吗呢？我是在打女拳啊！哈哈哈哈	0	0	1
城市独生女基本不要彩礼呀包括我。只是我要求男方是城市独子，父母有退休金。感觉要求也不过分吧[飙泪笑]	我2套房子，有个20多万的车子，存款就不说了，有些女的还真不敢娶，哈哈，彩礼给啊，嫁妆你不能差太多了吧，不可能我父母给100万，你们还10万就没意思了	0	0	1
对付拳师同样可以以其人之道还治其人之身，这群生物平时就喜欢这么玩，这样也正好成全了它们。总结起来就是素质三连：点踩、狂怼、拉黑，必要时可以举报，一通操作下来如行云流水、一气呵成。	女拳师们除了会拉黑举报外，也没有别的杀手锏了。	0	0	0
我们叫唤我们孤独终老啊，关你啥事儿啊，帅哥的事儿你少管	女孩子事在找给的了彩礼的啊，但架不住给不了的看到了嗷嗷叫啊，尽管不嫁他，不问他要钱，他也叫唤啊	0	0	1
你不知道我们在个大平台拉了多少人才能把你们干掉	男的评论多[微笑]	0	1	1
我就是很自卑啊，所以您可以告诉我解决的方法吗，请您不能把您的思想压在我身上，我已经觉得我受到了伤害，请问我要怎么做[大笑][大笑][大笑]	当夸赞一位女性闭月羞花沉鱼落雁的时候，任何女性都不会觉得被侮辱，因为她们心里觉得某种意义上确实与这两个词挂钩，当您认为“奇趣蛋”一词对您产生了侮辱时，是否代表您心里觉得某种意义上与该事物挂钩了呢？在此不禁想起北师大电梯事件里某位女性研究生提出的“石头砸狗”理论	0	0	1
实际上只有在中国，结婚才是两个家庭的事情。欧美人结婚的时候，双方爸妈会帮忙掏空家庭买房？怎么可能。这点上还是要向西方看齐。	我也00后，不过你这想法也太他妈幼稚了吧，别的不说，结婚就是两个家庭的事情…双方父母不同意不支持不给资助那也活的太困难了吧	0	0	1
你父母不是你父母吗?尽孝的事不就是两个人的事吗?	和他们没关系，为什么你需要带配偶去见父母？通知他们吗	0	0	1
其实我和层主想法一样，在这里讨论的评论的仅仅是针对“结婚是两个人的事”这一句话，这个婚姻观念的问题，不过很多人误解了。	已经脱离原话题了[思考]	0	1	0
